ano_censo;cagt_adm;sub_cat_adm;id_cat_adm;num_alunos;grau_academ;nome_mod_ensino
2013;PÚBLICA;ESTADUAL;2;208574;LICENCIATURA;PRESENCIAL
2013;PÚBLICA;ESTADUAL;2;67256;TECNOLÓGICO;PRESENCIAL
2013;PÚBLICA;MUNICIPAL;3;138478;BACHARELADO;PRESENCIAL
2013;PÚBLICA;MUNICIPAL;3;30555;LICENCIATURA;PRESENCIAL
2013;PÚBLICA;MUNICIPAL;3;5846;TECNOLÓGICO;PRESENCIAL
2013;PRIVADA;PRIVADA;4;596;-;PRESENCIAL
2013;PRIVADA;PRIVADA;4;3427528;BACHARELADO;PRESENCIAL
2013;PRIVADA;PRIVADA;4;421059;LICENCIATURA;PRESENCIAL
2013;PRIVADA;PRIVADA;4;525248;TECNOLÓGICO;PRESENCIAL
2012;PÚBLICA;FEDERAL;1;8731;-;PRESENCIAL
2012;PÚBLICA;FEDERAL;1;672328;BACHARELADO;PRESENCIAL
2012;PÚBLICA;FEDERAL;1;250639;LICENCIATURA;PRESENCIAL
2012;PÚBLICA;FEDERAL;1;53504;TECNOLÓGICO;PRESENCIAL
2012;PÚBLICA;ESTADUAL;2;13450;-;PRESENCIAL
2012;PÚBLICA;ESTADUAL;2;269308;BACHARELADO;PRESENCIAL
2012;PÚBLICA;ESTADUAL;2;215558;LICENCIATURA;PRESENCIAL
2012;PÚBLICA;ESTADUAL;2;62189;TECNOLÓGICO;PRESENCIAL
2012;PÚBLICA;MUNICIPAL;3;134507;BACHARELADO;PRESENCIAL
2012;PÚBLICA;MUNICIPAL;3;29466;LICENCIATURA;PRESENCIAL
2012;PÚBLICA;MUNICIPAL;3;6072;TECNOLÓGICO;PRESENCIAL
2012;PRIVADA;PRIVADA;4;351;-;PRESENCIAL
2012;PRIVADA;PRIVADA;4;3267887;BACHARELADO;PRESENCIAL
2012;PRIVADA;PRIVADA;4;420930;LICENCIATURA;PRESENCIAL
2012;PRIVADA;PRIVADA;4;518918;TECNOLÓGICO;PRESENCIAL
2011;PÚBLICA;FEDERAL;1;6249;-;PRESENCIAL
2011;PÚBLICA;FEDERAL;1;628300;BACHARELADO;PRESENCIAL
2011;PÚBLICA;FEDERAL;1;241029;LICENCIATURA;PRESENCIAL
2011;PÚBLICA;FEDERAL;1;51508;TECNOLÓGICO;PRESENCIAL
2011;PÚBLICA;ESTADUAL;2;10665;-;PRESENCIAL
2011;PÚBLICA;ESTADUAL;2;265801;BACHARELADO;PRESENCIAL
2011;PÚBLICA;ESTADUAL;2;218181;LICENCIATURA;PRESENCIAL
2011;PÚBLICA;ESTADUAL;2;53555;TECNOLÓGICO;PRESENCIAL
2011;PÚBLICA;MUNICIPAL;3;91747;BACHARELADO;PRESENCIAL
2011;PÚBLICA;MUNICIPAL;3;24334;LICENCIATURA;PRESENCIAL
2011;PÚBLICA;MUNICIPAL;3;4022;TECNOLÓGICO;PRESENCIAL
2011;PRIVADA;PRIVADA;4;81;-;PRESENCIAL
2011;PRIVADA;PRIVADA;4;3210575;BACHARELADO;PRESENCIAL
2011;PRIVADA;PRIVADA;4;443236;LICENCIATURA;PRESENCIAL
2011;PRIVADA;PRIVADA;4;497479;TECNOLÓGICO;PRESENCIAL
2010;PÚBLICA;FEDERAL;1;5162;-;PRESENCIAL
2010;PÚBLICA;FEDERAL;1;562445;BACHARELADO;PRESENCIAL
2010;PÚBLICA;FEDERAL;1;220497;LICENCIATURA;PRESENCIAL
2010;PÚBLICA;FEDERAL;1;45830;TECNOLÓGICO;PRESENCIAL
2010;PÚBLICA;ESTADUAL;2;10767;-;PRESENCIAL
2010;PÚBLICA;ESTADUAL;2;256054;BACHARELADO;PRESENCIAL
2010;PÚBLICA;ESTADUAL;2;213733;LICENCIATURA;PRESENCIAL
2010;PÚBLICA;ESTADUAL;2;44144;TECNOLÓGICO;PRESENCIAL
2010;PÚBLICA;MUNICIPAL;3;75386;BACHARELADO;PRESENCIAL
2010;PÚBLICA;MUNICIPAL;3;24507;LICENCIATURA;PRESENCIAL
2010;PÚBLICA;MUNICIPAL;3;3171;TECNOLÓGICO;PRESENCIAL
2010;PRIVADA;PRIVADA;4;55;-;PRESENCIAL
2010;PRIVADA;PRIVADA;4;3064659;BACHARELADO;PRESENCIAL
2010;PRIVADA;PRIVADA;4;470011;LICENCIATURA;PRESENCIAL
2010;PRIVADA;PRIVADA;4;452699;TECNOLÓGICO;PRESENCIAL
2009;PÚBLICA;FEDERAL;1;496802;BACHARELADO;PRESENCIAL
2009;PÚBLICA;FEDERAL;1;157191;LICENCIATURA;PRESENCIAL
2009;PÚBLICA;FEDERAL;1;45431;TECNOLÓGICO;PRESENCIAL
2009;PÚBLICA;FEDERAL;1;53423;BACHARELADO E LICENCIATURA;PRESENCIAL
2009;PÚBLICA;ESTADUAL;2;224944;BACHARELADO;PRESENCIAL
2009;PÚBLICA;ESTADUAL;2;179225;LICENCIATURA;PRESENCIAL
2009;PÚBLICA;ESTADUAL;2;35972;TECNOLÓGICO;PRESENCIAL
2009;PÚBLICA;ESTADUAL;2;40004;BACHARELADO E LICENCIATURA;PRESENCIAL
2009;PÚBLICA;MUNICIPAL;3;87156;BACHARELADO;PRESENCIAL
2009;PÚBLICA;MUNICIPAL;3;24829;LICENCIATURA;PRESENCIAL
2009;PÚBLICA;MUNICIPAL;3;3442;TECNOLÓGICO;PRESENCIAL
2009;PÚBLICA;MUNICIPAL;3;2749;BACHARELADO E LICENCIATURA;PRESENCIAL
2009;PRIVADA;PRIVADA;4;2842203;BACHARELADO;PRESENCIAL
2009;PRIVADA;PRIVADA;4;410424;LICENCIATURA;PRESENCIAL
2009;PRIVADA;PRIVADA;4;401885;TECNOLÓGICO;PRESENCIAL
2009;PRIVADA;PRIVADA;4;110216;BACHARELADO E LICENCIATURA;PRESENCIAL
